13,1 
14,1 
14,2 
14,3 
13,3 
13,4 
14,4 
15,4 
16,4 
16,5 
15,5 
15,6 
16,6 
17,6 
18,6 
18,5 
19,5 
19,6 
20,6 
20,7 
20,8 
19,8 
20,9 
20,10 
19,10 
18,10 
17,10 
17,9 
16,10 
16,11 
16,12 
17,12 
17,13 
16,13 
16,14 
17,14 
18,14 
19,14 
19,13 
20,13 
20,14 
20,15 
19,15 
18,15 
17,15 
16,15 
16,16 
16,17 
17,17 
17,18 
16,18 
16,19 
17,19 
17,20 
18,20 
19,20 
20,20 
20,19 
20,18 
19,18 
19,17 
20,17 
16,20 
15,20 
15,19 
14,19 
14,20 
13,20 
12,20 
11,20 
10,20 
9,20 
9,19 
8,19 
8,20 
7,20 
6,20 
5,20 
4,20 
3,20 
3,19 
4,19 
4,18 
3,18 
3,17 
3,16 
2,16 
1,16 
1,15 
2,15 
3,15 
4,15 
4,14 
3,14 
2,14 
2,13 
1,13 
1,12 
2,12 
3,12 
4,12 
5,12 
6,12 
7,12 
7,13 
6,13 
5,13 
5,14 
6,14 
7,14 
8,14 
8,15 
8,16 
7,16 
Shortest way : 
[(8, 16), (8, 17), (8, 18), (8, 19), (8, 20), (9, 20), (10, 20), (11, 20), (12, 20), (13, 20), (14, 20), (14, 19), (15, 19), (16, 19), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (17, 10), (18, 10), (19, 10), (20, 10), (20, 9), (20, 8), (20, 7), (20, 6), (19, 6), (19, 5), (19, 4), (18, 4), (17, 4), (16, 4), (15, 4), (14, 4), (14, 3), (14, 2), (13, 2)] 
